id,labels,port
32363,Port,443
32364,Port,5000
32365,Port,80
32366,Port,443
32367,Port,80
32368,Port,443
32369,Port,80
32370,Port,443
32371,Port,8080
32372,Port,80
32373,Port,443
32374,Port,5000
32375,Port,80
32376,Port,443
32377,Port,80
32378,Port,443
32379,Port,80
32380,Port,443
32381,Port,8080
32382,Port,80
32383,Port,443
32384,Port,5000
32385,Port,5000
32386,Port,8080
32387,Port,8080
32388,Port,80
32389,Port,443
32390,Port,8080
32391,Port,80
32392,Port,443
32393,Port,8080
32394,Port,80
32395,Port,443
32396,Port,5000
32397,Port,5000
32398,Port,8080
32399,Port,8080
32400,Port,8080
32401,Port,80
32402,Port,443
32403,Port,8080
32404,Port,5000
32405,Port,80
32406,Port,443
32407,Port,5000
32408,Port,8080
32409,Port,80
32410,Port,443
32411,Port,8080
32412,Port,80
32413,Port,443
32414,Port,8080
32415,Port,5000
32416,Port,80
32417,Port,443
32418,Port,8080
32419,Port,80
32420,Port,443
32421,Port,80
32422,Port,443
32423,Port,8080
32424,Port,8080
32425,Port,80
32426,Port,443
32427,Port,8080
32428,Port,5000
32429,Port,80
32430,Port,443
32431,Port,8080
32432,Port,5000
32433,Port,8080
32434,Port,8080
32435,Port,80
32436,Port,443
32437,Port,80
32438,Port,443
32439,Port,80
32440,Port,443
32441,Port,8080
32442,Port,8080
32443,Port,5000
32444,Port,80
32445,Port,443
32446,Port,8080
32447,Port,8080
32448,Port,8080
32449,Port,8080
32450,Port,5000
32451,Port,80
32452,Port,443
32453,Port,5000
32454,Port,80
32455,Port,443
32456,Port,80
32457,Port,443
32458,Port,80
32459,Port,443
32460,Port,5000
32461,Port,80
32462,Port,443
32463,Port,8080
32464,Port,8080
32465,Port,80
32466,Port,443
32467,Port,5000
32468,Port,8080
32469,Port,8080
32470,Port,8080
32471,Port,80
32472,Port,443
32473,Port,8080
32474,Port,80
32475,Port,443
32476,Port,8080
32477,Port,8080
32478,Port,5000
32479,Port,80
32480,Port,443
32481,Port,8080
32482,Port,8080
32483,Port,8080
32484,Port,8080
32485,Port,80
32486,Port,443
32487,Port,8080
32488,Port,80
32489,Port,443
32490,Port,8080
32491,Port,8080
32492,Port,80
32493,Port,443
32494,Port,8080
32495,Port,80
32496,Port,443
32497,Port,80
32498,Port,443
32499,Port,80
32500,Port,443
32501,Port,80
32502,Port,443
32503,Port,8080
32504,Port,5000
32505,Port,8080
32506,Port,5000
32507,Port,8080
32508,Port,5000
32509,Port,80
32510,Port,443
32511,Port,8080
32512,Port,80
32513,Port,443
32514,Port,8080
32515,Port,8080
32516,Port,80
32517,Port,443
32518,Port,80
32519,Port,443
32520,Port,8080
32521,Port,8080
32522,Port,80
32523,Port,443
32524,Port,8080
32525,Port,5000
32526,Port,80
32527,Port,443
32528,Port,5000
32529,Port,5000
32530,Port,8080
32531,Port,5000
32532,Port,5000
32533,Port,8080
32534,Port,8080
32535,Port,80
32536,Port,443
32537,Port,8080
32538,Port,80
32539,Port,443
32540,Port,80
32541,Port,443
32542,Port,5000
32543,Port,80
32544,Port,443
32545,Port,8080
32546,Port,8080
32547,Port,80
32548,Port,443
32549,Port,80
32550,Port,443
32551,Port,80
32552,Port,443
32553,Port,80
32554,Port,443
32555,Port,5000
32556,Port,8080
32557,Port,80
32558,Port,443
32559,Port,5000
32560,Port,8080
32561,Port,5000
32562,Port,80
32563,Port,443
32564,Port,8080
32565,Port,80
32566,Port,443
32567,Port,80
32568,Port,443
32569,Port,5000
32570,Port,8080
32571,Port,80
32572,Port,443
32573,Port,8080
32574,Port,80
32575,Port,443
32576,Port,8080
32577,Port,80
32578,Port,443
32579,Port,80
32580,Port,443
32581,Port,8080
32582,Port,8080
32583,Port,8080
32584,Port,8080
32585,Port,8080
32586,Port,80
32587,Port,443
32588,Port,80
32589,Port,443
32590,Port,80
32591,Port,443
32592,Port,80
32593,Port,443
32594,Port,80
32595,Port,443
32596,Port,8080
32597,Port,5000
32598,Port,80
32599,Port,443
32600,Port,80
32601,Port,443
32602,Port,80
32603,Port,443
32604,Port,8080
32605,Port,5000
32606,Port,8080
32607,Port,8080
32608,Port,80
32609,Port,443
32610,Port,8080
32611,Port,5000
32612,Port,8080
32613,Port,80
32614,Port,443
32615,Port,5000
32616,Port,80
32617,Port,443
32618,Port,5000
32619,Port,8080
32620,Port,8080
32621,Port,5000
32622,Port,8080
32623,Port,8080
32624,Port,80
32625,Port,443
32626,Port,8080
32627,Port,80
32628,Port,443
32629,Port,80
32630,Port,443
32631,Port,8080
32632,Port,8080
32633,Port,80
32634,Port,443
32635,Port,5000
32636,Port,80
32637,Port,443
32638,Port,80
32639,Port,443
32640,Port,8080
32641,Port,80
32642,Port,443
32643,Port,8080
32644,Port,80
32645,Port,443
32646,Port,5000
32647,Port,8080
32648,Port,5000
32649,Port,5000
32650,Port,80
32651,Port,443
32652,Port,80
32653,Port,443
32654,Port,8080
32655,Port,8080
32656,Port,8080
32657,Port,5000
32658,Port,8080
32659,Port,80
32660,Port,443
32661,Port,80
32662,Port,443
32663,Port,8080
32664,Port,80
32665,Port,443
32666,Port,8080
32667,Port,80
32668,Port,443
32669,Port,8080
32670,Port,8080
32671,Port,5000
32672,Port,8080
32673,Port,80
32674,Port,443
32675,Port,5000
32676,Port,8080
32677,Port,5000
32678,Port,80
32679,Port,443
32680,Port,8080
32681,Port,80
32682,Port,443
32683,Port,8080
32684,Port,80
32685,Port,443
32686,Port,8080
32687,Port,80
32688,Port,443
32689,Port,8080
32690,Port,5000
32691,Port,8080
32692,Port,8080
32693,Port,5000
32694,Port,5000
32695,Port,5000
32696,Port,8080
32697,Port,5000
32698,Port,8080
32699,Port,80
32700,Port,443
32701,Port,80
32702,Port,443
32703,Port,5000
32704,Port,80
32705,Port,443
32706,Port,5000
32707,Port,8080
32708,Port,80
32709,Port,443
32710,Port,8080
32711,Port,8080
32712,Port,5000
32713,Port,5000
32714,Port,8080
32715,Port,8080
32716,Port,80
32717,Port,443
32718,Port,5000
32719,Port,5000
32720,Port,80
32721,Port,443
32722,Port,80
32723,Port,443
32724,Port,80
32725,Port,443
32726,Port,80
32727,Port,443
32728,Port,8080
32729,Port,80
32730,Port,443
32731,Port,8080
32732,Port,80
32733,Port,443
32734,Port,80
32735,Port,443
32736,Port,80
32737,Port,443
32738,Port,80
32739,Port,443
32740,Port,5000
32741,Port,80
32742,Port,443
32743,Port,80
32744,Port,443
32745,Port,8080
32746,Port,80
32747,Port,443
32748,Port,8080
32749,Port,5000
32750,Port,80
32751,Port,443
32752,Port,5000
32753,Port,5000
32754,Port,8080
32755,Port,80
32756,Port,443
32757,Port,80
32758,Port,443
32759,Port,5000
32760,Port,80
32761,Port,443
32762,Port,80
32763,Port,443
32764,Port,8080
32765,Port,8080
32766,Port,5000
32767,Port,80
32768,Port,443
32769,Port,8080
32770,Port,80
32771,Port,443
32772,Port,80
32773,Port,443
32774,Port,5000
32775,Port,80
32776,Port,443
32777,Port,80
32778,Port,443
32779,Port,80
32780,Port,443
32781,Port,8080
32782,Port,8080
32783,Port,8080
32784,Port,5000
32785,Port,8080
32786,Port,5000
32787,Port,8080
32788,Port,8080
32789,Port,80
32790,Port,443
32791,Port,8080
32792,Port,5000
32793,Port,5000
32794,Port,80
32795,Port,443
32796,Port,80
32797,Port,443
32798,Port,8080
32799,Port,80
32800,Port,443
32801,Port,8080
32802,Port,80
32803,Port,443
32804,Port,8080
32805,Port,8080
32806,Port,8080
32807,Port,5000
32808,Port,5000
32809,Port,8080
32810,Port,5000
32811,Port,80
32812,Port,443
32813,Port,8080
32814,Port,8080
32815,Port,80
32816,Port,443
32817,Port,8080
32818,Port,80
32819,Port,443
32820,Port,8080
32821,Port,8080
32822,Port,5000
32823,Port,8080
32824,Port,8080
32825,Port,5000
32826,Port,80
32827,Port,443
32828,Port,80
32829,Port,443
32830,Port,8080
32831,Port,80
32832,Port,443
32833,Port,8080
32834,Port,8080
32835,Port,80
32836,Port,443
32837,Port,8080
32838,Port,80
32839,Port,443
32840,Port,80
32841,Port,443
32842,Port,8080
32843,Port,80
32844,Port,443
32845,Port,80
32846,Port,443
32847,Port,80
32848,Port,443
32849,Port,5000
32850,Port,80
32851,Port,443
32852,Port,8080
32853,Port,80
32854,Port,443
32855,Port,80
32856,Port,443
32857,Port,8080
32858,Port,8080
32859,Port,80
32860,Port,443
32861,Port,5000
32862,Port,5000
32863,Port,8080
32864,Port,80
32865,Port,443
32866,Port,8080
32867,Port,80
32868,Port,443
32869,Port,8080
32870,Port,8080
32871,Port,5000
32872,Port,80
32873,Port,443
32874,Port,8080
32875,Port,80
32876,Port,443
32877,Port,5000
32878,Port,80
32879,Port,443
32880,Port,80
32881,Port,443
32882,Port,8080
32883,Port,8080
32884,Port,80
32885,Port,443
32886,Port,80
32887,Port,443
32888,Port,5000
32889,Port,80
32890,Port,443
32891,Port,8080
32892,Port,8080
32893,Port,5000
32894,Port,80
32895,Port,443
32896,Port,80
32897,Port,443
32898,Port,80
32899,Port,443
32900,Port,80
32901,Port,443
32902,Port,8080
32903,Port,5000
32904,Port,8080
32905,Port,80
32906,Port,443
32907,Port,80
32908,Port,443
32909,Port,5000
32910,Port,8080
32911,Port,8080
32912,Port,8080
32913,Port,80
32914,Port,443
32915,Port,8080
32916,Port,5000
32917,Port,80
32918,Port,443
32919,Port,8080
32920,Port,5000
32921,Port,8080
32922,Port,8080
32923,Port,5000
32924,Port,8080
32925,Port,8080
32926,Port,5000
32927,Port,5000
32928,Port,80
32929,Port,443
32930,Port,80
32931,Port,443
32932,Port,80
32933,Port,443
32934,Port,5000
32935,Port,8080
32936,Port,80
32937,Port,443
32938,Port,80
32939,Port,443
32940,Port,8080
32941,Port,5000
32942,Port,8080
32943,Port,8080
32944,Port,8080
32945,Port,80
32946,Port,443
32947,Port,8080
32948,Port,8080
32949,Port,8080
32950,Port,80
32951,Port,443
32952,Port,8080
32953,Port,8080
32954,Port,80
32955,Port,443
32956,Port,80
32957,Port,443
32958,Port,8080
32959,Port,8080
32960,Port,80
32961,Port,443
32962,Port,5000
32963,Port,8080
32964,Port,5000
32965,Port,8080
32966,Port,80
32967,Port,443
32968,Port,8080
32969,Port,80
32970,Port,443
32971,Port,80
32972,Port,443
32973,Port,80
32974,Port,443
32975,Port,80
32976,Port,443
32977,Port,80
32978,Port,443
32979,Port,80
32980,Port,443
32981,Port,80
32982,Port,443
32983,Port,8080
32984,Port,5000
32985,Port,8080
32986,Port,80
32987,Port,443
32988,Port,80
32989,Port,443
32990,Port,8080
32991,Port,80
32992,Port,443
32993,Port,80
32994,Port,443
32995,Port,5000
32996,Port,5000
32997,Port,5000
32998,Port,5000
32999,Port,80
33000,Port,443
33001,Port,8080
33002,Port,8080
33003,Port,8080
33004,Port,80
33005,Port,443
33006,Port,80
33007,Port,443
33008,Port,80
33009,Port,443
33010,Port,8080
33011,Port,8080
33012,Port,80
33013,Port,443
33014,Port,5000
33015,Port,8080
33016,Port,80
33017,Port,443
33018,Port,80
33019,Port,443
33020,Port,8080
33021,Port,80
33022,Port,443
33023,Port,8080
33024,Port,8080
33025,Port,80
33026,Port,443
33027,Port,8080
33028,Port,80
33029,Port,443
33030,Port,5000
33031,Port,8080
33032,Port,8080
33033,Port,8080
33034,Port,5000
33035,Port,5000
33036,Port,8080
33037,Port,8080
33038,Port,8080
33039,Port,80
33040,Port,443
33041,Port,8080
33042,Port,80
33043,Port,443
33044,Port,5000
33045,Port,8080
33046,Port,5000
33047,Port,80
33048,Port,443
33049,Port,5000
33050,Port,80
33051,Port,443
33052,Port,8080
33053,Port,8080
33054,Port,8080
33055,Port,8080
33056,Port,8080
33057,Port,80
33058,Port,443
33059,Port,8080
33060,Port,80
33061,Port,443
33062,Port,8080
33063,Port,80
33064,Port,443
33065,Port,80
33066,Port,443
33067,Port,80
33068,Port,443
33069,Port,8080
33070,Port,80
33071,Port,443
33072,Port,8080
33073,Port,80
33074,Port,443
33075,Port,5000
33076,Port,5000
33077,Port,80
33078,Port,443
33079,Port,8080
33080,Port,5000
33081,Port,8080
33082,Port,80
33083,Port,443
33084,Port,80
33085,Port,443
33086,Port,5000
33087,Port,8080
33088,Port,8080
33089,Port,80
33090,Port,443
33091,Port,80
33092,Port,443
33093,Port,5000
33094,Port,8080
33095,Port,8080
33096,Port,80
33097,Port,443
33098,Port,5000
33099,Port,5000
33100,Port,80
33101,Port,443
33102,Port,80
33103,Port,443
33104,Port,80
33105,Port,443
33106,Port,80
33107,Port,443
33108,Port,8080
33109,Port,80
33110,Port,443
33111,Port,80
33112,Port,443
33113,Port,8080
33114,Port,8080
33115,Port,8080
33116,Port,5000
33117,Port,8080
33118,Port,8080
33119,Port,8080
33120,Port,80
33121,Port,443
33122,Port,5000
33123,Port,80
33124,Port,443
33125,Port,80
33126,Port,443
33127,Port,8080
33128,Port,80
33129,Port,443
33130,Port,80
33131,Port,443
33132,Port,8080
33133,Port,8080
33134,Port,8080
33135,Port,80
33136,Port,443
33137,Port,8080
33138,Port,8080
33139,Port,80
33140,Port,443
33141,Port,8080
33142,Port,8080
33143,Port,8080
33144,Port,8080
33145,Port,80
33146,Port,443
33147,Port,80
33148,Port,443
33149,Port,8080
33150,Port,8080
33151,Port,8080
33152,Port,80
33153,Port,443
33154,Port,8080
33155,Port,80
33156,Port,443
33157,Port,80
33158,Port,443
33159,Port,8080
33160,Port,80
33161,Port,443
33162,Port,80
33163,Port,443
33164,Port,5000
33165,Port,80
33166,Port,443
33167,Port,80
33168,Port,443
33169,Port,8080
33170,Port,8080
33171,Port,80
33172,Port,443
33173,Port,80
33174,Port,443
33175,Port,80
33176,Port,443
33177,Port,5000
33178,Port,8080
33179,Port,8080
33180,Port,80
33181,Port,443
33182,Port,5000
33183,Port,8080
33184,Port,8080
33185,Port,8080
33186,Port,8080
33187,Port,8080
33188,Port,8080
33189,Port,5000
33190,Port,80
33191,Port,443
33192,Port,8080
33193,Port,8080
33194,Port,8080
33195,Port,80
33196,Port,443
33197,Port,80
33198,Port,443
33199,Port,8080
33200,Port,80
33201,Port,443
33202,Port,80
33203,Port,443
33204,Port,80
33205,Port,443
33206,Port,8080
33207,Port,8080
33208,Port,5000
33209,Port,80
33210,Port,443
33211,Port,8080
33212,Port,8080
33213,Port,80
33214,Port,443
33215,Port,8080
33216,Port,5000
33217,Port,5000
33218,Port,8080
33219,Port,5000
33220,Port,80
33221,Port,443
33222,Port,5000
33223,Port,8080
33224,Port,80
33225,Port,443
33226,Port,8080
33227,Port,8080
33228,Port,5000
33229,Port,8080
33230,Port,80
33231,Port,443
33232,Port,80
33233,Port,443
33234,Port,80
33235,Port,443
33236,Port,80
33237,Port,443
33238,Port,5000
33239,Port,5000
33240,Port,80
33241,Port,443
33242,Port,80
33243,Port,443
33244,Port,8080
33245,Port,8080
33246,Port,8080
33247,Port,8080
33248,Port,8080
33249,Port,80
33250,Port,443
33251,Port,8080
33252,Port,8080
33253,Port,5000
33254,Port,8080
33255,Port,8080
33256,Port,80
33257,Port,443
33258,Port,8080
33259,Port,80
33260,Port,443
33261,Port,5000
33262,Port,80
33263,Port,443
33264,Port,80
33265,Port,443
33266,Port,8080
33267,Port,8080
33268,Port,8080
33269,Port,8080
33270,Port,8080
33271,Port,80
33272,Port,443
33273,Port,5000
33274,Port,8080
33275,Port,8080
33276,Port,8080
33277,Port,8080
33278,Port,80
33279,Port,443
33280,Port,8080
33281,Port,80
33282,Port,443
33283,Port,5000
33284,Port,5000
33285,Port,8080
33286,Port,8080
33287,Port,5000
33288,Port,5000
33289,Port,8080
33290,Port,80
33291,Port,443
33292,Port,8080
33293,Port,8080
33294,Port,8080
33295,Port,5000
33296,Port,8080
33297,Port,80
33298,Port,443
33299,Port,80
33300,Port,443
33301,Port,5000
33302,Port,8080
33303,Port,80
33304,Port,443
33305,Port,8080
33306,Port,8080
33307,Port,8080
33308,Port,5000
33309,Port,80
33310,Port,443
33311,Port,80
33312,Port,443
33313,Port,80
33314,Port,443
33315,Port,80
33316,Port,443
33317,Port,80
33318,Port,443
33319,Port,80
33320,Port,443
33321,Port,80
33322,Port,443
33323,Port,80
33324,Port,443
33325,Port,8080
33326,Port,8080
33327,Port,8080
33328,Port,8080
33329,Port,80
33330,Port,443
33331,Port,5000
33332,Port,5000
33333,Port,8080
33334,Port,5000
33335,Port,80
33336,Port,443
33337,Port,8080
33338,Port,80
33339,Port,443
33340,Port,80
33341,Port,443
33342,Port,80
33343,Port,443
33344,Port,80
33345,Port,443
33346,Port,8080
33347,Port,8080
33348,Port,8080
33349,Port,8080
33350,Port,8080
33351,Port,8080
33352,Port,8080
33353,Port,80
33354,Port,443
33355,Port,5000
33356,Port,80
33357,Port,443
33358,Port,5000
33359,Port,8080
33360,Port,8080
33361,Port,8080
33362,Port,8080
33363,Port,80
33364,Port,443
33365,Port,5000
33366,Port,8080
33367,Port,8080
33368,Port,80
33369,Port,443
33370,Port,8080
33371,Port,8080
33372,Port,80
33373,Port,443
33374,Port,8080
33375,Port,5000
33376,Port,5000
33377,Port,8080
33378,Port,80
33379,Port,443
33380,Port,80
33381,Port,443
33382,Port,5000
33383,Port,80
33384,Port,443
33385,Port,8080
33386,Port,80
33387,Port,443
33388,Port,80
33389,Port,443
33390,Port,5000
33391,Port,5000
33392,Port,8080
33393,Port,5000
33394,Port,80
33395,Port,443
33396,Port,80
33397,Port,443
33398,Port,80
33399,Port,443
33400,Port,5000
33401,Port,80
33402,Port,443
33403,Port,5000
33404,Port,8080
33405,Port,8080
33406,Port,8080
33407,Port,5000
33408,Port,8080
33409,Port,5000
33410,Port,80
33411,Port,443
33412,Port,80
33413,Port,443
33414,Port,5000
33415,Port,8080
33416,Port,5000
33417,Port,8080
33418,Port,8080
33419,Port,8080
33420,Port,80
33421,Port,443
33422,Port,80
33423,Port,443
33424,Port,80
33425,Port,443
33426,Port,8080
33427,Port,80
33428,Port,443
33429,Port,80
33430,Port,443
33431,Port,5000
33432,Port,8080
33433,Port,5000
33434,Port,5000
33435,Port,80
33436,Port,443
33437,Port,8080
33438,Port,8080
33439,Port,80
33440,Port,443
33441,Port,8080
33442,Port,80
33443,Port,443
33444,Port,80
33445,Port,443
33446,Port,80
33447,Port,443
33448,Port,80
33449,Port,443
33450,Port,8080
33451,Port,80
33452,Port,443
33453,Port,8080
33454,Port,8080
33455,Port,5000
33456,Port,80
33457,Port,443
33458,Port,8080
33459,Port,80
33460,Port,443
33461,Port,80
33462,Port,443
33463,Port,80
33464,Port,443
33465,Port,8080
33466,Port,5000
33467,Port,8080
33468,Port,8080
33469,Port,80
33470,Port,443
33471,Port,8080
33472,Port,5000
33473,Port,8080
33474,Port,8080
33475,Port,8080
33476,Port,80
33477,Port,443
33478,Port,5000
33479,Port,80
33480,Port,443
33481,Port,8080
33482,Port,8080
33483,Port,8080
33484,Port,80
33485,Port,443
33486,Port,80
33487,Port,443
33488,Port,80
33489,Port,443
33490,Port,8080
33491,Port,8080
33492,Port,8080
33493,Port,8080
33494,Port,80
33495,Port,443
33496,Port,5000
33497,Port,8080
33498,Port,8080
33499,Port,80
33500,Port,443
33501,Port,80
33502,Port,443
33503,Port,80
33504,Port,443
33505,Port,8080
33506,Port,8080
33507,Port,8080
33508,Port,8080
33509,Port,8080
33510,Port,80
33511,Port,443
33512,Port,8080
33513,Port,8080
33514,Port,80
33515,Port,443
33516,Port,5000
33517,Port,80
33518,Port,443
33519,Port,5000
33520,Port,80
33521,Port,443
33522,Port,80
33523,Port,443
33524,Port,8080
33525,Port,80
33526,Port,443
33527,Port,8080
33528,Port,80
33529,Port,443
33530,Port,5000
33531,Port,80
33532,Port,443
33533,Port,80
33534,Port,443
33535,Port,5000
33536,Port,80
33537,Port,443
33538,Port,80
33539,Port,443
33540,Port,80
33541,Port,443
33542,Port,80
33543,Port,443
33544,Port,80
33545,Port,443
33546,Port,80
33547,Port,443
33548,Port,8080
33549,Port,80
33550,Port,443
33551,Port,8080
33552,Port,8080
33553,Port,8080
33554,Port,8080
33555,Port,8080
33556,Port,80
33557,Port,443
33558,Port,8080
33559,Port,80
33560,Port,443
33561,Port,8080
33562,Port,80
33563,Port,443
33564,Port,80
33565,Port,443
33566,Port,8080
33567,Port,8080
33568,Port,5000
33569,Port,8080
33570,Port,5000
33571,Port,8080
33572,Port,8080
33573,Port,80
33574,Port,443
33575,Port,80
33576,Port,443
33577,Port,80
33578,Port,443
33579,Port,80
33580,Port,443
33581,Port,80
33582,Port,443
33583,Port,8080
33584,Port,80
33585,Port,443
33586,Port,5000
33587,Port,5000
33588,Port,5000
33589,Port,8080
33590,Port,80
33591,Port,443
33592,Port,5000
33593,Port,5000
33594,Port,80
33595,Port,443
33596,Port,80
33597,Port,443
33598,Port,8080
33599,Port,80
33600,Port,443
33601,Port,80
33602,Port,443
33603,Port,5000
33604,Port,80
33605,Port,443
33606,Port,5000
33607,Port,5000
33608,Port,8080
33609,Port,80
33610,Port,443
33611,Port,80
33612,Port,443
33613,Port,5000
33614,Port,80
33615,Port,443
33616,Port,8080
33617,Port,8080
33618,Port,5000
33619,Port,80
33620,Port,443
33621,Port,8080
33622,Port,8080
33623,Port,8080
33624,Port,80
33625,Port,443
33626,Port,80
33627,Port,443
33628,Port,8080
33629,Port,80
33630,Port,443
33631,Port,80
33632,Port,443
33633,Port,80
33634,Port,443
33635,Port,80
33636,Port,443
33637,Port,80
33638,Port,443
33639,Port,5000
33640,Port,80
33641,Port,443
33642,Port,8080
33643,Port,8080
33644,Port,80
33645,Port,443
33646,Port,8080
33647,Port,80
33648,Port,443
33649,Port,80
33650,Port,443
33651,Port,80
33652,Port,443
33653,Port,8080
33654,Port,8080
33655,Port,80
33656,Port,443
33657,Port,80
33658,Port,443
33659,Port,8080
33660,Port,80
33661,Port,443
33662,Port,8080
33663,Port,80
33664,Port,443
33665,Port,80
33666,Port,443
33667,Port,8080
33668,Port,8080
33669,Port,80
33670,Port,443
33671,Port,80
33672,Port,443
33673,Port,80
33674,Port,443
33675,Port,8080
33676,Port,8080
33677,Port,80
33678,Port,443
33679,Port,8080
33680,Port,5000
33681,Port,8080
33682,Port,80
33683,Port,443
33684,Port,80
33685,Port,443
33686,Port,8080
33687,Port,80
33688,Port,443
33689,Port,8080
33690,Port,8080
33691,Port,80
33692,Port,443
33693,Port,80
33694,Port,443
33695,Port,80
33696,Port,443
33697,Port,80
33698,Port,443
33699,Port,8080
33700,Port,8080
33701,Port,8080
33702,Port,80
33703,Port,443
33704,Port,5000
33705,Port,5000
33706,Port,5000
33707,Port,80
33708,Port,443
33709,Port,8080
33710,Port,5000
33711,Port,80
33712,Port,443
33713,Port,8080
33714,Port,5000
33715,Port,5000
33716,Port,5000
33717,Port,8080
33718,Port,80
33719,Port,443
33720,Port,5000
33721,Port,5000
33722,Port,80
33723,Port,443
33724,Port,80
33725,Port,443
33726,Port,80
33727,Port,443
33728,Port,5000
33729,Port,5000
33730,Port,8080
33731,Port,8080
33732,Port,8080
33733,Port,80
33734,Port,443
33735,Port,80
33736,Port,443
33737,Port,80
33738,Port,443
33739,Port,80
33740,Port,443
33741,Port,8080
33742,Port,80
33743,Port,443
33744,Port,8080
33745,Port,8080
33746,Port,80
33747,Port,443
33748,Port,5000
33749,Port,5000
33750,Port,80
33751,Port,443
33752,Port,80
33753,Port,443
33754,Port,8080
33755,Port,5000
33756,Port,8080
33757,Port,80
33758,Port,443
33759,Port,80
33760,Port,443
33761,Port,80
33762,Port,443
33763,Port,80
33764,Port,443
33765,Port,8080
33766,Port,8080
33767,Port,8080
33768,Port,80
33769,Port,443
33770,Port,80
33771,Port,443
33772,Port,5000
33773,Port,8080
33774,Port,8080
33775,Port,8080
33776,Port,8080
33777,Port,8080
33778,Port,8080
33779,Port,8080
33780,Port,8080
33781,Port,8080
33782,Port,80
33783,Port,443
33784,Port,80
33785,Port,443
33786,Port,80
33787,Port,443
33788,Port,80
33789,Port,443
33790,Port,8080
33791,Port,80
33792,Port,443
33793,Port,8080
33794,Port,8080
33795,Port,8080
33796,Port,5000
33797,Port,80
33798,Port,443
33799,Port,80
33800,Port,443
33801,Port,80
33802,Port,443
33803,Port,8080
33804,Port,8080
33805,Port,80
33806,Port,443
33807,Port,5000
33808,Port,80
33809,Port,443
33810,Port,80
33811,Port,443
33812,Port,80
33813,Port,443
33814,Port,8080
33815,Port,80
33816,Port,443
33817,Port,80
33818,Port,443
33819,Port,80
33820,Port,443
33821,Port,80
33822,Port,443
33823,Port,80
33824,Port,443
33825,Port,5000
33826,Port,5000
33827,Port,8080
33828,Port,80
33829,Port,443
33830,Port,80
33831,Port,443
33832,Port,80
33833,Port,443
33834,Port,80
33835,Port,443
33836,Port,8080
33837,Port,8080
